str,en,ru,es
Dhikr,Dhikr,Зикр,Dhikr
Add Dhikr,Add Dhikr,Добавить Зикр,Añadir Dhikr
Current counter:,Current counter:,Текущий счетчик:,Contador actual:
Enter title of Dhikr,Enter title of Dhikr,Введите заголовок Зикра,Introduzca el título del Dhikr
Cancel,Cancel,Отменить,Cancelar
Save,Save,Сохранить,Guardar
Save Dhikr,Save Dhikr,Сохранить Зикр,Guardar Dhikr
Last Saved Dhikrs,Last Saved Dhikrs,Последние сохраненные Зикры,Últimos Dhikrs guardados
Activity,Activity,Активность,Actividad
Saved,Saved,Сохраненные,Guardado
Settings,Settings,Настройки,Ajustes
